Video sequence name,Processing start time,Processing end time,Timestamp start time,Timestamp end time,Unique objects,GPU
/home/worklab/Data/cv/video/ground_truth_video_06162021/record_47_p1c5_00000.mp4,---,---,1623876788.66,1623876848.72,---,---

Processing fps
3.0454585204335607

Confidence Cutoff,NMS Cutoff
0.3,0.5

Frame #,Timestamp,Object Confidence,Object class,BBox xmin,BBox ymin,BBox xmax,BBox ymax,vel_x,vel_y,Generation method,GPS lat of bbox bottom center,GPS long of bbox bottom center,fbrx,fbry,fblx,fbly,bbrx,bbry,bblx,bbly,ftrx,ftry,ftlx,ftly,btrx,btry,btlx,btly
0,1623876788.66,0.9882295,pickup,626.75836,130.01395,755.61725,220.88441,---,---,3D Detector,---,---,627.62805,204.25919,661.33636,215.68628,725.70386,169.18668,759.41223,180.61377,622.99554,173.17578,656.70386,184.60287,721.07135,138.10327,754.77966,149.53036
0,1623876788.66,0.97844553,sedan,874.15,148.45355,976.2827,234.0379,---,---,3D Detector,---,---,877.28705,215.412,903.5052,231.92801,939.36755,181.59235,965.58563,198.10834,883.49316,185.16278,909.7113,201.67879,945.57367,151.34312,971.79175,167.85913
0,1623876788.66,0.97598946,midsize,1536.844,205.48865,1631.3143,291.60413,---,---,3D Detector,---,---,1624.5122,249.37247,1581.8542,232.89058,1575.7908,292.2689,1533.1328,275.787,1632.4763,221.2104,1589.8184,204.72852,1583.7549,264.1068,1541.0969,247.62492
0,1623876788.66,0.95224285,midsize,751.66534,281.9173,896.6996,408.89545,---,---,3D Detector,---,---,760.47327,385.34018,796.0857,407.15558,844.88684,328.8806,880.49927,350.696,767.7361,341.1955,803.3485,363.01093,852.14966,284.73596,887.7621,306.55136
0,1623876788.66,0.84876245,midsize,1173.3527,51.93592,1256.2128,127.175255,---,---,3D Detector,---,---,1173.9248,110.32286,1203.2308,125.129234,1215.6237,87.5431,1244.9297,102.34947,1183.69,76.93236,1212.996,91.73873,1225.3887,54.152596,1254.6947,68.95897
0,1623876788.66,0.3597332,pickup,218.14668,903.0024,252.95676,935.22864,---,---,3D Detector,---,---,246.03993,926.9981,225.52338,923.71075,239.48831,931.99274,218.97176,928.7054,251.77194,909.3719,231.25539,906.0846,245.22032,914.3666,224.70377,911.0792
1,1623876788.7,0.9867379,sedan,853.897,160.1917,963.6844,247.54002,---,---,3D Detector,---,---,860.1522,229.37848,885.6143,245.82544,927.0542,191.18065,952.5163,207.6276,863.4829,200.9166,888.945,217.36354,930.3849,162.71877,955.847,179.16571
1,1623876788.7,0.9783302,midsize,1552.5808,194.62936,1642.154,278.70758,---,---,3D Detector,---,---,1634.9784,236.61429,1594.0406,221.37473,1591.199,279.7912,1550.2612,264.55164,1642.0931,208.69824,1601.1555,193.45868,1598.3137,251.87515,1557.3761,236.63559
1,1623876788.7,0.97224855,pickup,614.59546,136.7619,746.6736,231.71918,---,---,3D Detector,---,---,612.9205,213.74684,648.4643,225.94489,717.3001,177.13135,752.844,189.32939,607.87366,182.2313,643.41754,194.42934,712.25336,145.6158,747.79724,157.81384
1,1623876788.7,0.9580888,midsize,732.2153,297.21222,874.03827,422.67126,---,---,3D Detector,---,---,738.7315,403.25027,772.6785,422.4535,829.7667,341.07404,863.7137,360.27725,742.7308,360.99252,776.67773,380.19574,833.766,298.81628,867.71295,318.0195
1,1623876788.7,0.83432215,pickup,1163.1161,59.93808,1241.7556,135.66591,---,---,3D Detector,---,---,1160.0667,121.7644,1190.0905,131.77898,1207.1909,97.051865,1237.2148,107.066444,1166.7838,89.58105,1196.8076,99.595634,1213.9082,64.868515,1243.932,74.8831
1,1623876788.7,0.37962553,pickup,218.57414,903.20874,252.58752,935.4764,---,---,3D Detector,---,---,246.37872,927.69073,225.89929,923.75665,238.75279,932.60474,218.27335,928.67065,252.47957,909.83685,232.00012,905.90283,244.85364,914.7509,224.37419,910.81683
2,1623876788.73,0.9833889,sedan,839.6097,170.04068,945.014,253.88474,---,---,3D Detector,---,---,836.88043,237.30139,868.3626,250.02444,912.7856,201.9724,944.2678,214.69547,840.2353,209.79967,871.71747,222.52272,916.14044,174.47067,947.6227,187.19374
2,1623876788.73,0.97699463,midsize,1562.9532,184.06323,1653.5631,268.21167,---,---,3D Detector,---,---,1645.69,231.07002,1604.5991,212.61362,1600.7399,269.25937,1559.649,250.80298,1657.0557,201.7639,1615.9648,183.3075,1612.1056,239.95326,1571.0148,221.49686
2,1623876788.73,0.9650333,pickup,602.6173,138.98795,732.21216,237.6419,---,---,3D Detector,---,---,605.3813,221.13687,635.76935,235.40338,697.0595,180.75587,727.4476,195.0224,606.22797,183.43661,636.61597,197.70312,697.9062,143.0556,728.29425,157.32213
2,1623876788.73,0.9502026,midsize,708.9565,307.39993,852.1519,439.59793,---,---,3D Detector,---,---,716.93787,414.63834,754.09686,436.61627,800.10406,356.37323,837.263,378.3512,721.37213,370.44757,758.53107,392.4255,804.53827,312.18246,841.69727,334.16043
2,1623876788.73,0.9226269,midsize,1144.243,70.01114,1230.341,147.73294,---,---,3D Detector,---,---,1136.8704,133.43663,1173.3787,144.3725,1190.8391,105.8632,1227.3475,116.799065,1146.8955,103.280205,1183.4039,114.21607,1200.8644,75.70677,1237.3728,86.64264
2,1623876788.73,0.46897382,pickup,217.13594,903.8464,253.36664,935.7808,---,---,3D Detector,---,---,245.28735,928.0427,226.70822,923.30554,239.11353,934.3348,220.5344,929.59753,249.84454,908.9517,231.26541,904.2145,243.67073,915.2437,225.0916,910.50653
3,1623876788.76,0.9828011,pickup,586.0959,147.74388,718.5729,247.54065,---,---,3D Detector,---,---,584.25714,230.03523,619.34174,242.1944,682.0324,195.40114,717.11694,207.5603,586.6564,192.01106,621.74097,204.17021,684.43164,157.37697,719.51624,169.53613
3,1623876788.76,0.9820015,sedan,819.1564,177.84991,929.4702,267.83307,---,---,3D Detector,---,---,816.07526,248.8623,849.26465,264.32928,893.2366,212.304,926.426,227.77098,820.51685,219.79837,853.7063,235.26535,897.67816,183.24008,930.8676,198.70706
3,1623876788.76,0.9810043,midsize,1573.4991,175.2661,1663.7062,256.47168,---,---,3D Detector,---,---,1656.4227,214.55602,1617.4514,199.94527,1612.4371,256.50183,1573.466,241.89107,1662.3198,190.06995,1623.3486,175.4592,1618.3344,232.01575,1579.3632,217.405
3,1623876788.76,0.9290019,midsize,1128.3431,75.87046,1219.3607,155.66867,---,---,3D Detector,---,---,1121.6309,140.65561,1159.4298,152.17493,1174.0099,112.28385,1211.8087,123.803185,1134.4528,109.10965,1172.2517,120.628975,1186.8317,80.7379,1224.6306,92.257225
3,1623876788.76,0.896226,midsize,690.3934,324.59668,840.0575,452.5048,---,---,3D Detector,---,---,698.106,431.5609,736.68695,451.73096,795.74805,368.90363,834.329,389.0737,695.3387,388.55252,733.9197,408.7226,792.9807,325.89526,831.56165,346.0653
3,1623876788.76,0.51760757,pickup,216.89093,904.1194,253.10692,936.13,---,---,3D Detector,---,---,245.20161,928.439,226.48592,923.411,238.89792,934.8423,220.1822,929.8143,249.69464,909.3938,230.97894,904.3658,243.39095,915.79706,224.67523,910.76904
4,1623876788.8,0.9951989,pickup,576.12866,154.77942,707.4449,252.68483,---,---,3D Detector,---,---,578.32733,237.73836,611.92676,247.67091,677.8293,195.65909,711.4287,205.59163,570.5838,205.32054,604.1832,215.25308,670.08575,163.24127,703.6852,173.17381
4,1623876788.8,0.98374224,sedan,800.3165,188.96504,911.86615,279.6323,---,---,3D Detector,---,---,807.22406,262.3816,833.21906,278.54977,874.7023,221.63097,900.6972,237.79916,810.05084,230.85982,836.04584,247.02802,877.52905,190.10919,903.524,206.27739
4,1623876788.8,0.9732632,midsize,1589.2163,161.91432,1675.906,239.19629,---,---,3D Detector,---,---,1669.9489,201.46048,1632.3784,186.26189,1622.8452,240.95183,1585.2749,225.75322,1677.1798,175.68848,1639.6094,160.48987,1630.0763,215.17981,1592.5059,199.9812
4,1623876788.8,0.96061885,midsize,668.9436,337.84683,807.1408,467.97324,---,---,3D Detector,---,---,675.971,441.8431,712.1251,465.7957,759.78656,384.1818,795.9406,408.13437,678.8216,399.35477,714.97565,423.3073,762.6371,341.69345,798.79114,365.646
4,1623876788.8,0.8996543,midsize,1110.0654,86.27942,1201.7039,166.44768,---,---,3D Detector,---,---,1111.6902,147.90195,1140.0668,163.58864,1155.2795,123.55433,1183.6561,139.24103,1127.4878,113.39769,1155.8644,129.08438,1171.0771,89.05008,1199.4537,104.73677
4,1623876788.8,0.43628636,pickup,216.93625,903.9684,253.02473,936.2927,---,---,3D Detector,---,---,245.36339,928.64136,226.44089,923.2315,238.7946,935.2049,219.87212,929.79504,249.94301,909.51843,231.02051,904.10864,243.37422,916.082,224.45174,910.6722
